ID,filename,desc::ENG,desc::gls,desc::FAS,video_url,audio_url,image_url,surprisal,word order,focus,desc::Q-word,intonation,function
1,01_00_02,Would you like me to give you some money?,money IPFV-want-2sg some to-2sg.PC SBJV-give-1sg,pul mi-xA-y yekam be-t be-d-am,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/01_00_02.wav,kourosh/01_00_02.png,0,0,0,mi-xA-y,1,Offer
2,01_00_10,I want to see if there is anyone here to help me?,IPFV.want.1sg SBJV-see-1sg anyone be.3sg here doing SBJV-give.3sg,mi-xAst-am be-bin-am kesi hast injA anjAm be-de,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/01_00_10.wav,kourosh/01_00_10.png,0,0,0,hast,1,Genuine
3,02_20_04,No way... Does that mean I should miss it?,that_is nothing just_like_that should in regret SBJV-remain-1sg now,yani hich haminjur bAyad dar hasrat-esh be-mun-am alAn,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_04.wav,kourosh/02_20_04.png,1,0,1,hasrat-esh,1,Rhetorical
4,02_20_06,Would you like to see my imported car?,IPFV-want-2sg car imported-EZ I-OBJ SBJV-see-2sg,mi-xA-y mAshin vAredAti-ye man-o be-bin-i,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_06.wav,kourosh/02_20_06.png,0,1,0,mi-xA-y,1,Offer
5,02_20_08,I parked my Pride [car] in front of that. Someone may have stolen it?,Pride-1sg-OBJ in_front_of-EZ there park do-1sg steal-3pl that_is,perAyd-am-o jelo-ye unjA pArk kard-am dozdid-an yani,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_20_08.wav,kourosh/02_20_08.png,1,0,0,dozdid-an,1,Confirmation
6,02_50_02,Will this person [to respect the addresse he uses a plural form of demonstrative third person plural] take care of that - the car?,they burden-3sg-OBJ IPFV-pull-3pl for car,ishun zahmat-esh-o mi-kesh-an barA mAshin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_50_02.wav,kourosh/02_50_02.png,0,0,0,mi-kesh-an,1,Confirmation
7,02_50_06,Do you need the window-tinting as well?,glass smoked-also SBJV-want-2sg,shishe dudi-yam mi-xA-y,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/02_50_06.wav,kourosh/02_50_06.png,0,1,0,dudi-yam,0,Genuine
8,03_27_08,Does its roof close?,roof-3sg closed IPFV-become.3sg,saqf-esh baste mi-she,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/03_27_08.wav,kourosh/03_27_08.png,1,1,0,baste,1,Genuine
9,05_15_04,Negin's father?,father-EZ Negin,bAbA-ye negin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/05_15_04.wav,kourosh/05_15_04.png,1,1,1,bAbA-ye,1,Confirmation
10,06_15_04,I am looking for an accomodation in this city is there any?,I to pursuant-EZ preparation accomodation in this city be.1sg AyA be.3sg,man be donbAl-e tahiye-ye maskan dar in shahr has-tam AyA hast,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/06_15_04.wav,kourosh/06_15_04.png,0,1,0,AyA,1,Genuine
11,07_26_04,Is this person your daughter?,this daughter-EZ your be-3pl,ishun doxtar-e shomA hast-an,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/07_26_04.wav,kourosh/07_26_04.png,1,1,1,doxtar-e,1,Confirmation
12,07_26_10,Did you find a solution?,solution-INDEF finding do-2pl,rAhehal-i peydA kard-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/07_26_10.wav,kourosh/07_26_10.png,0,1,0,peydA,0,Genuine
13,07_55_04,Is the house expensive?,house expensive-be.3sg,xune gerun-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/07_55_04.wav,kourosh/07_55_04.png,0,1,0,gerun-e,1,Echo
14,09_01_02,Men's beauty?,beauty-EZ man-PL,zibAyi-ye mard-An,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/09_01_02.wav,kourosh/09_01_02.png,1,1,1,mard-An,1,Echo
15,09_01_04,Shall we go now?,SBJV-go-1pl now,be-r-im hAlA,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/09_01_04.wav,kourosh/09_01_04.png,0,0,0,be-r-im,0,Offer
16,09_10_02,I think you meant Chitgar lake?,lake Chitgar-OBJ thinking do-1sg meaning-2pl be.3sg,daryAche Chitgar-o fek kon-am manzur-etun bud,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/09_10_02.wav,kourosh/09_10_02.png,0,0,1,Chitgar-o,0,Confirmation
17,10_00_04,Do you have my voice?,you voice-EZ I-OBJ have-2sg,shomA sedA-ye man-o dAr-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/10_00_04.wav,kourosh/10_00_04.png,0,1,0,man-o,1,Genuine
18,10_00_08,My urban problem is so cute?,problem-EZ city-EZ I what nice-be.3sg,moshkel-e shahri-ye man che nAz-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/10_00_08.wav,kourosh/10_00_08.png,0,1,0,che,1,Echo
19,10_07_02,Ms. doctor? [does it belong to the doctor?],Ms. doctor-be.3sg,xAnom doktor-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/10_07_02.wav,kourosh/10_07_02.png,1,1,1,xAnom,1,Echo
20,10_07_08,Shall we go after the Rolls Royce?,SBJV-go-1pl pursuit-EZ Rolls-Royce,be-ri-m donbAl-e rolzroyz,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/10_07_08.wav,kourosh/10_07_08.png,0,0,0,be-ri-m,1,Genuine
21,10_07_10,Do they give us a ride?,IPFV-deliver-3pl,mi-resu-nan,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/10_07_10.wav,kourosh/10_07_10.png,0,1,0,mi-resu-nan,1,Confirmation
22,11_29_02,Do you have cars?,have-2pl car you-pl,dAr-id mAshin shomA-hA,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/11_29_02.wav,kourosh/11_29_02.png,0,0,1,dAr-id,1,Genuine
23,11_29_04,Do you see my beauties?,from beauty-pl-EZ I  see-PRF SBJV-become-3sg,az zibAyi-hA-ye man did-e mi-sh-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/11_29_04.wav,kourosh/11_29_04.png,0,1,0,did-e,0,Rhetorical
24,13_59_04,Can I ask your daughter's name forgive my boldness? [drop 'forgive my boldness' and suppose a context in which the questions is asked by a police officer or is asked by a person in the same social status Apparently the intonation should be different],name-EZ daughter-3pl-OBJ IPFV-able-1sg SBJV-ask-1sg courage,esm-e doxtar-etun-o mi-tun-am be-pors-am jesAratan,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/13_59_04.wav,kourosh/13_59_04.png,0,1,0,mi-tun-am,1,Request
25,13_59_10,09126969?,zero nine hundred-and twelve sixty-and-nine sixty-and-nine,sefr nosad-o davAzdah shast-o-noh shast-o-noh,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/13_59_10.wav,kourosh/13_59_10.png,0,1,0,shast-o-noh,1,Confirmation
26,14_21_08,Would like to go there and show your home to me?,IPFV-want-2pl next-3sg-also SBJV-go-1pl there house-2pl-OBJ sign SBJV-give-2pl to I,mi-xAy-d bad-esh-am be-r-im unjA xuna-tun-o neshun be-d-id be man,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/14_21_08.wav,kourosh/14_21_08.png,0,0,0,be-d-id,1,Request
27,14_21_10,Do you live alone?,alone life IPFV-do-2sg,tanhA zendegi mi-kon-i,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/14_21_10.wav,kourosh/14_21_10.png,0,1,1,tanhA,1,Genuine
28,14_21_12,With your cat?,with cat-2pl,bA gorba-tun,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/14_21_12.wav,kourosh/14_21_12.png,0,1,0,gorba-tun,1,Confirmation
29,14_21_14,so you are alone?,well so alone-be.3sg else,xob pas tanhA-yid dige,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/14_21_14.wav,kourosh/14_21_14.png,0,0,1,tanhA-yid,0,Confirmation
30,15_21_04,The news agency?,hamin xabargozAri,this news_agency,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/15_21_04.wav,kourosh/15_21_04.png,0,1,0,hamin,1,Confirmation
31,16_05_04,Was this your daughter who flied?,this daugther-3pl be.3sg now flight do.3sg,in doxtar-etun bud alAn parvAz kard,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_05_04.wav,kourosh/16_05_04.png,1,1,1,doxtar-etun,1,Confirmation
32,16_20_02,McLaren?,McLaren,maklAren,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_02.wav,kourosh/16_20_02.png,1,1,1,maklAren,1,Confirmation
33,16_20_04,Maternal aunt did you fall on the ground?,maternal aunt eat-2sg ground,xAle xord-i zamin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_04.wav,kourosh/16_20_04.png,0,0,0,zamin,1,Rhetorical
34,16_20_06,Do you have driver's license?,driver's license have-2sg you,govAhinAme dAr-i shomA,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_06.wav,kourosh/16_20_06.png,1,0,1,dAr-i,1,Confirmation
35,16_20_08,Maternal aunt... do you have a swimming pool?,maternal aunt swimming pool have-2pl,xAle estaxr dAr-id,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_08.wav,kourosh/16_20_08.png,0,1,0,estaxr,1,Genuine
36,16_20_10,From that side?,from that side,az un var,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_10.wav,kourosh/16_20_10.png,0,1,0,var,0,Confirmation
37,16_20_14,From this side?,from this side-be.3sg,az in var-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/16_20_14.wav,kourosh/16_20_14.png,0,1,0,in,1,Echo
38,17_00_08,Is it possible to go to the top of Niavaran?,IPFV-become-3sg SBJV-go-1pl top-EZ Niavaran,mi-sh-e be-r-im nok-e NiyAvarAN,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/17_00_08.wav,kourosh/17_00_08.png,0,0,0,mi-sh-e,1,Request
39,17_30_04,Is this one?,this-be.3sg,in-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/17_30_04.wav,kourosh/17_30_04.png,0,1,0,in-e,1,Confirmation
40,17_30_10,Do you want us to go to bed?,exclamation IPFV-want-1pl SBJV-sleep-1pl,e mi-xA-ym be-xAb-im,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/17_30_10.wav,kourosh/17_30_10.png,1,1,1,be-xAb-im,1,Request
41,17_55_02,I see here? Exactly in this place?,exclamation here exactly in this,e injA daqiqan tu hamin,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/17_55_02.wav,kourosh/17_55_02.png,1,0,1,hamin,1,Confirmation
42,17_55_04,Well seven million loan?,well loan seven million,Axe vAm haft milyun,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/17_55_04.wav,kourosh/17_55_04.png,1,0,1,haft,1,Echo
43,19_54_02,Is she Miss. Negin?,Negin lady-be.3pl,Negin xAnum-an,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/19_54_02.wav,kourosh/19_54_02.png,0,1,0,xAnum-an,1,Confirmation
44,19_54_04,Mr. Kurosh do you get off the car?,Mr.-EZ Kurosh get-off IPFV-become-2pl,AqA-ye Kurosh piyAde mi-sh-id,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/19_54_04.wav,kourosh/19_54_04.png,0,1,0,piyAde,0,Request
45,19_54_06,Should I come?,SBJV-come-1sg,bi-yA-m,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/19_54_06.wav,kourosh/19_54_06.png,0,1,0,bi-yA-m,1,Confirmation
46,19_54_10,Miss. Negin do you like music?,Negin lady you to music interest have.2pl,Negin xAnom shomA be musiqi alAqe dAr-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/19_54_10.wav,kourosh/19_54_10.png,0,1,0,alAqe,1,Genuine
47,19_54_14,Does she play musical instrument?,instrument IPFV-hit-3pl she,sAz mi-zan-an ishun,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/19_54_14.wav,kourosh/19_54_14.png,0,0,0,mi-zan-an,1,Genuine
48,20_57_02,Aha [surprise] is that you Miss. Negin?,exclmation you-be.3pl Negin miss,e shomA-yid negin xAnom,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/20_57_02.wav,kourosh/20_57_02.png,1,0,0,negin,1,Rhetorical
49,20_57_04,Are you good?,good-be.2pl,xub-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/20_57_04.wav,kourosh/20_57_04.png,0,1,0,xub-in,0,Genuine
50,36_59_04,Cockroach?,cockroach,susk,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/36_59_04.wav,kourosh/36_59_04.png,1,1,0,susk,1,Echo
51,36_59_06,Cockroach?,cockroach,susk,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/36_59_06.wav,kourosh/36_59_06.png,1,1,0,susk,1,Echo
52,36_59_08,Is here your favorite resturant now?,here restaurant-EZ item-EZ interest-2pl-be.3sg now,injA resturAn-e mored-e alAqa-tun-e alAn,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/36_59_08.wav,kourosh/36_59_08.png,1,0,0,alAqa-tun-e,1,Rhetorical
53,36_59_10,Is here your favorite resturant?,here restaurant-EZ item-EZ interest-2pl-be.3sg,injA resturAn-e mored-e alAqa-tun-e,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/36_59_10.wav,kourosh/36_59_10.png,1,0,0,alAqa-tun-e,1,Echo
54,36_59_12,Are you afraid of cockroaches?,from cockroach IPFV-fear-2pl,az susk mi-tars-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/36_59_12.wav,kourosh/36_59_12.png,0,1,0,mi-tar-sin,1,Confirmation
55,38_27_02,Do you want me to take you on my back?,IPFV-want-2pl SBJV-catch-1sg-2pl with myself SBJV-carry-1sg-2pl on back-1sg,mi-xAy-d be-gir-am-etun bA xod-am be-bar-am-etun ru posht-am,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/38_27_02.wav,kourosh/38_27_02.png,0,0,0,mi-xAy-d,1,Offer
56,38_27_06,May I catch you?,SBJV-catch-1sg-2pl,be-gir-am-etun,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/38_27_06.wav,kourosh/38_27_06.png,0,0,0,be-gir-am-etun,1,Offer
57,39_50_02,Do you want me to open the door [for you]?,IPFV-want-3sg door-OBJ for-2pl open do-1sg,mi-xAy-d dar-rA barA-tun bAz kon-am,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/39_50_02.wav,kourosh/39_50_02.png,0,1,0,mi-xAy-d,1,Offer
58,39_50_08,Do you move your car?,car-2pl-OBJ move IPFV-do-2pl,mAshin-etun-o jAbejA mi-kon-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/39_50_08.wav,kourosh/39_50_08.png,0,1,0,jAbejA,1,Request
59,43_45_04,Five cakes?,five cake,panj keyk,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/43_45_04.wav,kourosh/43_45_04.png,1,1,1,panj,1,Confirmation
60,44_45_02,Aha Should we go to your home?,Aha should SBJV-go-1pl home-2pl,AhA bAyad be-r-im xuna-tun,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/44_45_02.wav,kourosh/44_45_02.png,1,0,1,xuna-tun,1,Confirmation
61,44_45_08,Would you like to drive since it is your home and you know [the address]?,IPFV-want-2pl home-2pl-be.3sg PAUSE you yourself driving do-2sg that know-be.2pl,mi-xAy-d xuna-tun-e PAUSE shomA xodetun rAnandegi kon-id ke balad-in,https://youtu.be/ReKdoQIYKOc?t=118,kourosh/44_45_08.wav,kourosh/44_45_08.png,0,1,0,kon-id,0,Offer
a,,,,,,,,0,0,0,,0,Confirmation
b,,,,,,,,1,1,1,,1,Echo
c,,,,,,,,0,0,0,,0,Genuine
d,,,,,,,,1,1,1,,1,Offer
e,,,,,,,,0,0,0,,0,Request
f,,,,,,,,1,1,1,,1,Rhetorical
